npcname_JP.	妹
npcname_EN.	younger sister
numflavor_passiveJP.	6
numflavor_passiveEN.	0
flavorpassive_JP.0	「あそぼーよ%onii%ちゃんー」
flavorpassive_JP.1	「%onii%ちゃんだいすき！」
flavorpassive_JP.2	「%onii%ちゃ～ん♪1」
flavorpassive_JP.3	妹は甘えるような声を出している。
flavorpassive_JP.4	「うー…無視しないでよぉ」
flavorpassive_JP.5	「%onii%ちゃん☆」
numflavor_angeredJP.	3
numflavor_angeredEN.	0
flavorangered_JP.0	「すっごーい」
flavorangered_JP.1	「%onii%ちゃんにいいとこ見せるぞ～！」
flavorangered_JP.2	「けしとんじゃえ」
numflavor_deathJP.	2
numflavor_deathEN.	0
flavordeath_JP.0	「らめぇ！」
flavordeath_JP.1	「なんでやねん」
numflavor_killJP.	3
numflavor_killEN.	0
flavorkill_JP.0	あなたは妹の頭をなでた。
flavorkill_JP.1	あなたは妹の姿に目を細めた。
flavorkill_JP.2	妹は上目づかいにあなたの顔を覗いた。
numflavor_welcomeJP.	3
numflavor_welcomeEN.	0
flavorwelcome_JP.0	「おかえり、%onii%ちゃん！」
flavorwelcome_JP.1	「おかえりなさーい、%onii%ちゃん♪」
flavorwelcome_JP.2	「待ってたよ、%onii%ちゃん」
