npcname_JP.	観光客
npcname_EN.	tourist
numflavor_passiveJP.	0
numflavor_passiveEN.	0
numflavor_angeredJP.	4
numflavor_angeredEN.	0
flavorangered_JP.0	「観光客だからって馬鹿にするな」
flavorangered_JP.1	「なんて治安の悪い国だ」
flavorangered_JP.2	「野蛮な土地だな」
flavorangered_JP.3	「金などもってないぞ」
numflavor_deathJP.	3
numflavor_deathEN.	0
flavordeath_JP.0	「こんな国二度とくるか」
flavordeath_JP.1	「無差別テロだー」
flavordeath_JP.2	「いやーん」
numflavor_killJP.	1
numflavor_killEN.	0
flavorkill_JP.0	「弱い弱い」
numflavor_welcomeJP.	1
numflavor_welcomeEN.	0
flavorwelcome_JP.0	「おかえり。いやぁ、いい家に住ませてもらっています」
