npcname_JP.	見世物屋の『モイアー』
npcname_EN.	<Moyer> the crooked
numflavor_passiveJP.	3
numflavor_passiveEN.	3
flavorpassive_JP.0	モイアー「さあ、寄った寄った！」
flavorpassive_JP.1	モイアー「これなるは伝説の火の巨人、見なきゃ損だよ！」
flavorpassive_JP.2	モイアー「他の店じゃ手に入らない珍品を見ていってくれ」
flavorpassive_EN.0	"Hey now, I stopped, I stopped!"
flavorpassive_EN.1	"Behold! a Legendary Giant of Fire! Be careful you aren't burned now."
flavorpassive_EN.2	"And if you think that's special, wait till you see what I got over here!"
numflavor_angeredJP.	4
numflavor_angeredEN.	0
flavorangered_JP.0	「観光客だからって馬鹿にするな」
flavorangered_JP.1	「なんて治安の悪い国だ」
flavorangered_JP.2	「野蛮な土地だな」
flavorangered_JP.3	「金などもってないぞ」
numflavor_deathJP.	0
numflavor_deathEN.	0
numflavor_killJP.	0
numflavor_killEN.	0
numflavor_welcomeJP.	0
numflavor_welcomeEN.	0
