npcname_JP.	見習い盗賊
npcname_EN.	thief
numflavor_passiveJP.	3
numflavor_passiveEN.	3
flavorpassive_JP.0	「やばいヤマだったぜ」
flavorpassive_JP.1	「お、カモだ…」
flavorpassive_JP.2	「ククク…」
flavorpassive_EN.0	"Heh, easy money..."
flavorpassive_EN.1	"Think I can get some good coin for those fancy bits you got on stranger?"
flavorpassive_EN.2	"Another one with a coinpurse just dangling there, like a bit of ripe fruit. Time to pluck it."
numflavor_angeredJP.	0
numflavor_angeredEN.	0
numflavor_deathJP.	2
numflavor_deathEN.	0
flavordeath_JP.0	「覚えていろよ」
flavordeath_JP.1	「やめてください！」
numflavor_killJP.	1
numflavor_killEN.	0
flavorkill_JP.0	「ふん！青二才め」
numflavor_welcomeJP.	1
numflavor_welcomeEN.	0
flavorwelcome_JP.0	「よう、生きてたか」
