npcname_JP.	マスターシーフ
npcname_EN.	master thief
numflavor_passiveJP.	3
numflavor_passiveEN.	3
flavorpassive_JP.0	「やばいヤマだったぜ」
flavorpassive_JP.1	「お、カモだ…」
flavorpassive_JP.2	「ククク…」
flavorpassive_EN.0	"Like taking candy from a baby in armor."
flavorpassive_EN.1	You hear someone humming the *Money* tune while cracking their knuckles
flavorpassive_EN.2	"Another satisifying finance adjustment."
numflavor_angeredJP.	0
numflavor_angeredEN.	0
numflavor_deathJP.	2
numflavor_deathEN.	0
flavordeath_JP.0	「覚えていろよ」
flavordeath_JP.1	「やめてください！」
numflavor_killJP.	1
numflavor_killEN.	0
flavorkill_JP.0	「ふん！青二才め」
numflavor_welcomeJP.	1
numflavor_welcomeEN.	0
flavorwelcome_JP.0	「よう、生きてたか」
