npcname_JP.	猫嫌いの『タム』
npcname_EN.	<Tam> the cat hater
numflavor_passiveJP.	3
numflavor_passiveEN.	3
flavorpassive_JP.0	「ひっ！」
flavorpassive_JP.1	「猫はどうしてあんなに恐ろしいのだろう」
flavorpassive_JP.2	「細い目が苦手です」
flavorpassive_EN.0	" hate those bloody cats!"
flavorpassive_EN.1	"Come closer kitty, I gotta present for ya!"
flavorpassive_EN.2	"I've got your number, mate. It's down to two for you. Ahh! There's a oner. Ha ha, yes. Not long for you now!"
numflavor_angeredJP.	0
numflavor_angeredEN.	0
numflavor_deathJP.	1
numflavor_deathEN.	0
flavordeath_JP.0	「うわー猫ー」
numflavor_killJP.	1
numflavor_killEN.	0
flavorkill_JP.0	「ふんっ！」
numflavor_welcomeJP.	0
numflavor_welcomeEN.	0
