npcname_JP.	猫使い『ケシー』
npcname_EN.	<Cacy> the cat tamer
numflavor_passiveJP.	1
numflavor_passiveEN.	0
flavorpassive_JP.0	「ガルルル…」
numflavor_angeredJP.	2
numflavor_angeredEN.	2
flavorangered_JP.0	「ガウッ」
flavorangered_JP.1	「ガルル！」
flavorangered_EN.0	"*Growl!*"
flavorangered_EN.1	"Grr..."
numflavor_deathJP.	1
numflavor_deathEN.	0
flavordeath_JP.0	「ニャァー…ァ」
numflavor_killJP.	2
numflavor_killEN.	0
flavorkill_JP.0	「ガオー」
flavorkill_JP.1	「ガル♪」
numflavor_welcomeJP.	1
numflavor_welcomeEN.	0
flavorwelcome_JP.0	「おかえりニャン！」
