npcname_JP.	アンドロイド
npcname_EN.	android
numflavor_passiveJP.	1
numflavor_passiveEN.	0
flavorpassive_JP.0	*がしゃーんがしゃーん*
numflavor_angeredJP.	3
numflavor_angeredEN.	0
flavorangered_JP.0	「駆動系異常なし。戦闘可能」
flavorangered_JP.1	「ターゲットロック」
flavorangered_JP.2	「突撃します」
numflavor_deathJP.	2
numflavor_deathEN.	0
flavordeath_JP.0	「サヨ…ウ…ナ…ラ」
flavordeath_JP.1	「機能停止…」
numflavor_killJP.	2
numflavor_killEN.	0
flavorkill_JP.0	「ターゲット撃破しました」
flavorkill_JP.1	「戦闘データを更新」
numflavor_welcomeJP.	1
numflavor_welcomeEN.	0
flavorwelcome_JP.0	「マスターの帰還を確認」
