npcname_JP.	黒天使
npcname_EN.	black angel
numflavor_passiveJP.	3
numflavor_passiveEN.	3
flavorpassive_JP.0	 *パタパタ* 
flavorpassive_JP.1	 *ばさっばさっ* 
flavorpassive_JP.2	 *ハタハタ* 
flavorpassive_EN.0	You hear what sounds like wings of feather, but with grace and dignity somehow...
flavorpassive_EN.1	You hear a quiet voice in prayer, but with a note of sadness...
flavorpassive_EN.2	You smell Myrrh in the air, but with the faintest hints of charcoal...
numflavor_angeredJP.	0
numflavor_angeredEN.	0
numflavor_deathJP.	1
numflavor_deathEN.	0
flavordeath_JP.0	「きゃあ！」
numflavor_killJP.	2
numflavor_killEN.	0
flavorkill_JP.0	「地獄に落ちなさい」
flavorkill_JP.1	「いいざまね」
numflavor_welcomeJP.	0
numflavor_welcomeEN.	0
