npcname_JP.	祭りの観光客
npcname_EN.	festival tourist
numflavor_passiveJP.	4
numflavor_passiveEN.	4
flavorpassive_JP.0	「屋台でおいしいもの売ってるかな？」
flavorpassive_JP.1	「今日ははじけるぜ」
flavorpassive_JP.2	「祭りじゃー」
flavorpassive_JP.3	あなたはワクワクしてきた。
flavorpassive_EN.0	"Let's check the food stall."
flavorpassive_EN.1	"No! I want to play a little longer!"
flavorpassive_EN.2	"It's a festival!"
flavorpassive_EN.3	You feel excited.
numflavor_angeredJP.	4
numflavor_angeredEN.	0
flavorangered_JP.0	「観光客だからって馬鹿にするな」
flavorangered_JP.1	「なんて治安の悪い国だ」
flavorangered_JP.2	「野蛮な土地だな」
flavorangered_JP.3	「金などもってないぞ」
numflavor_deathJP.	3
numflavor_deathEN.	0
flavordeath_JP.0	「こんな国二度とくるか」
flavordeath_JP.1	「無差別テロだー」
flavordeath_JP.2	「いやーん」
numflavor_killJP.	1
numflavor_killEN.	0
flavorkill_JP.0	「弱い弱い」
numflavor_welcomeJP.	1
numflavor_welcomeEN.	0
flavorwelcome_JP.0	「おかえり。いやぁ、いい家に住ませてもらっています」
