npcname_JP.	ルビーカーバンクル
npcname_EN.	ruby carbuncle
numflavor_passiveJP.	5
numflavor_passiveEN.	0
flavorpassive_JP.0	「ミャア」
flavorpassive_JP.1	「にゃ」
flavorpassive_JP.2	「ミャ」
flavorpassive_JP.3	「にゅぅ」
flavorpassive_JP.4	「ニャア」
numflavor_angeredJP.	4
numflavor_angeredEN.	0
flavorangered_JP.0	ニャー
flavorangered_JP.1	ニャウ
flavorangered_JP.2	ニャン
flavorangered_JP.3	ゥニャ
numflavor_deathJP.	1
numflavor_deathEN.	0
flavordeath_JP.0	「ニャァー…ァ」
numflavor_killJP.	5
numflavor_killEN.	0
flavorkill_JP.0	* ふしゅぅ *
flavorkill_JP.1	「ニャァー！」
flavorkill_JP.2	「にゃー」
flavorkill_JP.3	「ゥニャ！」
flavorkill_JP.4	爪を研ぐ音が聞こえる。
numflavor_welcomeJP.	1
numflavor_welcomeEN.	0
flavorwelcome_JP.0	「おかえりニャン！」
