npcname_JP.	ユナイデッド・クイーン
npcname_EN.	unitdead-queen
numflavor_passiveJP.	5
numflavor_passiveEN.	0
flavorpassive_JP.0	「ミャア」
flavorpassive_JP.1	「にゃ」
flavorpassive_JP.2	「ミャ」
flavorpassive_JP.3	「にゅぅ」
flavorpassive_JP.4	「ニャア」
numflavor_angeredJP.	1
numflavor_angeredEN.	0
flavorangered_JP.0	「ぐしゃああああああ」
numflavor_deathJP.	1
numflavor_deathEN.	1
flavordeath_JP.0	「ニャァー…ァ」
flavordeath_EN.0	"Me...meow...."
numflavor_killJP.	1
numflavor_killEN.	1
flavorkill_JP.0	* ふしゅぅ * 
flavorkill_EN.0	*hiss*
numflavor_welcomeJP.	1
numflavor_welcomeEN.	0
flavorwelcome_JP.0	「おかえりニャン！」
